DATAFLOW,INDICATOR: Indicator,REF_AREA: Reference area,LOCATION: Degree of Urbanisation,DEPOSIT: Deposit,ECONOMIC_SECTOR: Economic Sector,PAYMENT_RATIO_TYPE: Payment Ratio Type,EXPENDITURE: Expenditure,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1994,13.2,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1995,23.4,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1996,14.7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1997,20.5,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1998,17.8,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1999,23.2,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2000,27.6,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2001,13.2,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2002,16.8,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_BY_SECTOR_AT_CURRENT_PRICES: Annual GDP Growth Rate by Sector at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,INDUSTRY: Industry,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2003,13.8,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_73: MoP, NIS_National Accounts, Bulletin_2011"
